Collection,"""Observation ID""",Target,RA,Dec,"""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release"""
DAO,dao_c122_2006_011399,5s flat,,,4.942875E-7,5.572875E-7,,,2006-07-23T19:03:42.000
DAO,dao_c122_2006_011401,5s flat,,,4.942875E-7,5.572875E-7,,,2006-07-23T19:04:39.000
DAO,dao_c122_2006_011402,5s flat,,,4.942875E-7,5.572875E-7,,,2006-07-23T19:05:08.000
DAO,a2022_08_12_12_40_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T12:39:57.000
DAO,dao_c122_2006_011404,5s flat,,,4.942875E-7,5.572875E-7,,,2006-07-23T19:06:05.000
DAO,dao_c122_2006_010877,bias,,,,,,,2006-07-18T14:43:10.000
DAO,dao_c122_2006_010884,5s flat @ 90%,,,4.942875E-7,5.572875E-7,,,2006-07-18T15:50:20.000
DAO,dao_c122_2006_003281,bias,,,,,,,2006-03-19T15:42:57.000
DAO,dao_c122_2006_009627,bias,,,,,,,2006-06-27T04:33:47.000
DAO,dao_c122_2006_003286,bias,,,,,,,2006-03-19T15:44:49.000
DAO,dao_c122_2006_003290,bias,,,,,,,2006-03-19T15:46:20.000
DAO,dao_c122_2006_003287,bias,,,,,,,2006-03-19T15:45:12.000
DAO,dao_c122_2006_003288,bias,,,,,,,2006-03-19T15:45:35.000
DAO,dao_c122_2006_003291,bias,,,,,,,2006-03-19T15:46:42.000
DAO,dao_c122_2006_003292,bias,,,,,,,2006-03-19T15:47:04.000
DAO,dao_c122_2006_003293,bias,,,,,,,2006-03-19T15:47:27.000
DAO,dao_c122_2006_003294,bias,,,,,,,2006-03-19T15:47:50.000
DAO,dao_c122_2006_003297,bias,,,,,,,2006-03-19T15:48:57.000
DAO,dao_c122_2006_003298,bias,,,,,,,2006-03-19T15:49:20.000
